Timestamp,market-price
2020-11-13 00:00:00,16295.57
2020-11-14 00:00:00,16339.33
2020-11-15 00:00:00,16091.07
2020-11-16 00:00:00,15968.16
2020-11-17 00:00:00,16725.15
2020-11-18 00:00:00,17679.72
2020-11-19 00:00:00,17798.45
2020-11-20 00:00:00,17820.57
2020-11-21 00:00:00,18687.45
2020-11-22 00:00:00,18699.75
2020-11-23 00:00:00,18422.28
2020-11-24 00:00:00,18398.91
2020-11-25 00:00:00,19172.52
2020-11-26 00:00:00,18739.8
2020-11-27 00:00:00,17151.44
2020-11-28 00:00:00,17138.87
2020-11-29 00:00:00,17732.42
2020-11-30 00:00:00,18191.6
2020-12-01 00:00:00,19709.73
2020-12-02 00:00:00,18792.52
2020-12-03 00:00:00,19226.97
2020-12-04 00:00:00,19454.54
2020-12-05 00:00:00,18670.49
2020-12-06 00:00:00,19155.06
2020-12-07 00:00:00,19377.66
2020-12-08 00:00:00,19181.41
2020-12-09 00:00:00,18318.87
2020-12-10 00:00:00,18554.15
2020-12-11 00:00:00,18247.76
2020-12-12 00:00:00,18029.36
2020-12-13 00:00:00,18803.44
2020-12-14 00:00:00,19164.48
2020-12-15 00:00:00,19276.59
2020-12-16 00:00:00,19439.75
2020-12-17 00:00:00,21379.48
2020-12-18 00:00:00,22847.46
2020-12-19 00:00:00,23150.79
2020-12-20 00:00:00,23869.92
2020-12-21 00:00:00,23490.58
2020-12-22 00:00:00,22745.48
2020-12-23 00:00:00,23824.99
2020-12-24 00:00:00,23253.37
2020-12-25 00:00:00,23715.53
2020-12-26 00:00:00,24693.58
2020-12-27 00:00:00,26443.21
2020-12-28 00:00:00,26246.58
2020-12-29 00:00:00,27036.69
2020-12-30 00:00:00,27376.37
2020-12-31 00:00:00,28856.59
2021-01-01 00:00:00,28982.56
2021-01-02 00:00:00,29393.75
2021-01-03 00:00:00,32195.46
2021-01-04 00:00:00,33000.78
2021-01-05 00:00:00,32035.03
2021-01-06 00:00:00,34046.67
2021-01-07 00:00:00,36860.41
2021-01-08 00:00:00,39486.04
2021-01-09 00:00:00,40670.25
2021-01-10 00:00:00,40240.72
2021-01-11 00:00:00,38240.09
2021-01-12 00:00:00,35544.94
2021-01-13 00:00:00,34011.82
2021-01-14 00:00:00,37393.13
2021-01-15 00:00:00,39158.47
2021-01-16 00:00:00,36828.52
2021-01-17 00:00:00,36065.2
2021-01-18 00:00:00,35793.01
2021-01-19 00:00:00,36632.35
2021-01-20 00:00:00,36020.13
2021-01-21 00:00:00,35538.98
2021-01-22 00:00:00,30797.88
2021-01-23 00:00:00,33002.38
2021-01-24 00:00:00,32099.74
2021-01-25 00:00:00,32276.84
2021-01-26 00:00:00,32243.26
2021-01-27 00:00:00,32541.8
2021-01-28 00:00:00,30419.17
2021-01-29 00:00:00,33403.17
2021-01-30 00:00:00,34314.26
2021-01-31 00:00:00,34318.1
2021-02-01 00:00:00,33136.46
2021-02-02 00:00:00,33522.9
2021-02-03 00:00:00,35529.66
2021-02-04 00:00:00,37676.25
2021-02-05 00:00:00,37002.09
2021-02-06 00:00:00,38278.61
2021-02-07 00:00:00,39323.26
2021-02-08 00:00:00,38928.1
2021-02-09 00:00:00,46364.3
2021-02-10 00:00:00,46589.58
2021-02-11 00:00:00,44878.17
2021-02-12 00:00:00,48013.38
2021-02-13 00:00:00,47471.4
2021-02-14 00:00:00,47185.19
2021-02-15 00:00:00,48720.37
2021-02-16 00:00:00,47951.85
2021-02-17 00:00:00,49160.1
